iter	Passed	Remaining
0	1	118
1	2	100
2	2	92
3	3	84
4	4	83
5	5	79
6	5	78
7	6	77
8	7	76
9	8	74
10	9	73
11	9	72
12	10	71
13	11	70
14	12	69
15	13	69
16	14	68
17	14	67
18	15	68
19	16	67
20	17	65
21	18	64
22	19	63
23	20	64
24	21	63
25	21	62
26	22	60
27	23	60
28	24	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
